"Summary","Issue key","Issue Type","Status","Team","Story Points","PI","MoSCoW Priority","Business Value","WSJF","Projected Revenue","Actual Revenue","OKR Target","OKR Actual","Target start","Target end","Parent","Labels"
"In-app loan top-up and redraw","LEND-123","Epic","In Progress","Kestrel",55,"PI 26.3","Must Have",9,15.7,460000,"","Originate 20% of top-ups through the app","","06/Jul/26","25/Sep/26","Mobile Servicing App","mobile, origination"
"Biometric login and device binding","LEND-124","Feature","In Progress","Kestrel",28,"PI 26.3","Must Have",7,11.9,"","","","","06/Jul/26","25/Sep/26","Mobile Servicing App","mobile, security"
"In-app secure chat with servicing team","LEND-125","Feature","To Do","Kestrel",38,"PI 26.4","Should Have",6,7.4,70000,"","Shift 25% of servicing calls to chat","","05/Oct/26","18/Dec/26","Mobile Servicing App","mobile, contact-centre"
"Personal financial insights dashboard","LEND-126","Feature","To Do","Kestrel",34,"","Could Have",5,5.5,55000,"","","","","","Mobile Servicing App","mobile, insights"
"Apple Pay / Google Pay repayment options","LEND-127","Feature","To Do","Kestrel",21,"","Could Have",4,5.0,40000,"","","","","","Mobile Servicing App","mobile, payments"
"Digital identity verification with liveness check","LEND-130","Epic","Done","Marlin",50,"PI 26.1","Must Have",8,13.8,"","","Verify 90% of new customers without manual review","88% at PI close","05/Jan/26","27/Mar/26","Customer Identity & Verification","identity, kyc"
"Single customer sign-on across web and mobile","LEND-131","Epic","In Progress","Marlin",45,"PI 26.3","Must Have",7,10.2,"","","One login for all channels by end Q3 FY27","","06/Jul/26","25/Sep/26","Customer Identity & Verification","identity, sso"
"Step-up authentication for high-risk actions","LEND-132","Feature","To Do","Marlin",26,"PI 26.4","Should Have",7,9.3,"","","","","05/Oct/26","18/Dec/26","Customer Identity & Verification","identity, security"
"Delegated access for financial counsellors","LEND-133","Feature","To Do","Marlin",18,"","Could Have",4,4.6,"","","","","","","Customer Identity & Verification","identity, vulnerability"
"Decision engine re-platform — rules externalisation","LEND-140","Epic","Done","Beacon",64,"PI 26.1","Must Have",8,11.7,"","","Ship credit policy changes in days not months","Policy change cycle now 4 days","05/Jan/26","27/Mar/26","Credit Risk Decisioning Platform","risk, decisioning"
"Champion-challenger framework for credit strategies","LEND-141","Epic","Done","Beacon",52,"PI 26.2","Must Have",8,10.8,220000,198000,"Run 3 concurrent challenger strategies safely","3 live challengers at PI close","06/Apr/26","26/Jun/26","Credit Risk Decisioning Platform","risk, experimentation"
"Bureau data integration v2 — comprehensive reporting","LEND-142","Epic","In Progress","Beacon",48,"PI 26.3","Must Have",8,12.6,"","","Improve approval precision using CCR data","","06/Jul/26","25/Sep/26","Credit Risk Decisioning Platform","risk, bureau"
"ML application-fraud scoring model","LEND-143","Epic","In Progress","Beacon",40,"PI 26.3","Must Have",8,13.4,190000,"","Detect 30% more first-party fraud pre-settlement","","06/Jul/26","25/Sep/26","Credit Risk Decisioning Platform","risk, fraud, ml"
"Early-warning collections risk model","LEND-144","Feature","To Do","Beacon",36,"PI 26.4","Should Have",7,8.7,150000,"","Contact at-risk accounts 30 days earlier","","05/Oct/26","18/Dec/26","Credit Risk Decisioning Platform","risk, collections, ml"
"Portfolio stress-testing scenario runner","LEND-145","Feature","To Do","Beacon",30,"","Should Have",6,6.4,"","","","","","","Credit Risk Decisioning Platform","risk, capital"
"Decisioning audit trail and explainability pack","LEND-146","Feature","To Do","Beacon",24,"","Should Have",6,7.9,"","","Every automated decline fully explainable","","","","Credit Risk Decisioning Platform","risk, explainability"
"Lakehouse foundation — ingestion and governance zones","LEND-150","Epic","Done","Compass",58,"PI 26.1","Must Have",7,9.2,"","","All Tier-1 sources landing daily by end Q1","14 of 15 sources live","05/Jan/26","27/Mar/26","Enterprise Data Lakehouse","data, platform"
"Customer 360 curated data product","LEND-151","Epic","Done","Compass",54,"PI 26.2","Must Have",8,10.4,130000,118000,"Single trusted customer view for all channels","Live for 3 consuming teams","06/Apr/26","26/Jun/26","Enterprise Data Lakehouse","data, customer360"
"Originations funnel analytics data product","LEND-152","Feature","In Progress","Compass",36,"PI 26.3","Should Have",7,11.1,90000,"","Daily funnel conversion insight for product owners","","06/Jul/26","25/Sep/26","Enterprise Data Lakehouse","data, analytics"
"Data quality rules engine and stewardship console","LEND-153","Feature","In Progress","Compass",32,"PI 26.3","Should Have",6,8.3,"","","Critical data elements at 98% quality score","","06/Jul/26","25/Sep/26","Enterprise Data Lakehouse","data, quality"
"Legacy warehouse decommission — wave 1","LEND-154","Epic","To Do","Compass",46,"PI 26.4","Should Have",5,5.8,"","","Retire 40% of legacy warehouse workloads","","05/Oct/26","18/Dec/26","Enterprise Data Lakehouse","data, decommission"
"Self-service BI enablement and semantic layer","LEND-155","Feature","To Do","Compass",28,"PI 26.4","Could Have",6,7.0,60000,"","Reduce ad-hoc report requests by 35%","","05/Oct/26","18/Dec/26","Enterprise Data Lakehouse","data, bi"
"Real-time event streaming backbone","LEND-156","Feature","To Do","Compass",42,"","Could Have",6,6.2,"","","","","","","Enterprise Data Lakehouse","data, streaming"
"ML feature store for decisioning models","LEND-157","Feature","To Do","Compass",34,"","Should Have",7,7.7,"","","Reusable features across all risk models","","","","Enterprise Data Lakehouse","data, ml"
"CDR data-holder obligations — product reference data","LEND-160","Epic","Done","Marlin",40,"PI 26.1","Must Have",6,10.6,"","","Meet CDR data-holder deadline with zero findings","Delivered on time, audit clean","05/Jan/26","27/Mar/26","Open Banking & CDR Compliance","compliance, cdr"
"CDR consumer data sharing — consent and dashboards","LEND-161","Epic","In Progress","Marlin",50,"PI 26.3","Must Have",7,11.8,"","","Consent dashboard live before regulatory deadline","","06/Jul/26","25/Sep/26","Open Banking & CDR Compliance","compliance, cdr, consent"
"Accredited data recipient capability for verification","LEND-162","Feature","To Do","Compass",38,"PI 26.4","Should Have",7,8.5,110000,"","Use CDR data for income verification at scale","","05/Oct/26","18/Dec/26","Open Banking & CDR Compliance","compliance, cdr, openbanking"
"Regulatory reporting automation — credit data","LEND-163","Feature","To Do","Compass",26,"","Should Have",5,6.6,"","","","","","","Open Banking & CDR Compliance","compliance, reporting"
"Transaction monitoring rules uplift","LEND-170","Epic","Done","Beacon",42,"PI 26.2","Must Have",7,9.9,"","","Cut false-positive alerts by 40%","43% reduction achieved","06/Apr/26","26/Jun/26","Financial Crime & AML Uplift","aml, monitoring"
"Customer screening re-platform — sanctions and PEP","LEND-171","Epic","In Progress","Northwind [EXT]",44,"PI 26.3","Must Have",7,10.7,"","","Screen full book nightly within batch window","","06/Jul/26","25/Sep/26","Financial Crime & AML Uplift","aml, screening"
"Enhanced customer due diligence workflow","LEND-172","Feature","To Do","Northwind [EXT]",30,"PI 26.4","Should Have",6,7.6,"","","","","05/Oct/26","18/Dec/26","Financial Crime & AML Uplift","aml, workflow"
"AML analyst case management console","LEND-173","Feature","To Do","Beacon",28,"","Could Have",5,5.9,"","","","","","","Financial Crime & AML Uplift","aml, case-management"
"ML anomaly detection for mule accounts","LEND-174","Feature","To Do","Beacon",36,"","Could Have",6,6.9,"","","","","","","Financial Crime & AML Uplift","aml, ml"
"White-label lending-as-a-service platform","LEND-180","Epic","To Do","Aurora",89,"","Won't Have",5,3.2,"","","","","","","Online Personal Loan Origination","strategic-option"
"Branch tablet-assisted application experience","LEND-181","Feature","To Do","Aurora",34,"","Won't Have",3,2.6,45000,"","","","","","Online Personal Loan Origination","channel"
"Gamified savings goals in mobile app","LEND-182","Feature","To Do","Kestrel",26,"","Won't Have",3,2.9,30000,"","","","","","Mobile Servicing App","mobile"
"Voice-assistant balance and payment skills","LEND-183","Feature","To Do","Kestrel",21,"","Won't Have",2,2.1,"","","","","","","Mobile Servicing App","mobile, voice"
"Blockchain settlement proof-of-concept","LEND-184","Feature","To Do","Compass",30,"","Won't Have",2,1.8,"","","","","","","Enterprise Data Lakehouse","poc"
"Partner marketplace for insurance cross-sell","LEND-185","Feature","To Do","Marlin",44,"","Won't Have",4,3.4,120000,"","","","","","Broker Portal Modernisation","partnerships"
"Build save-and-resume session token API","LEND-901","Story","Done","Aurora",8,"PI 26.1","","","","","","","","","","LEND-101","execution-level"
"Wire serviceability engine to bureau sandbox","LEND-902","Story","Done","Aurora",5,"PI 26.2","","","","","","","","","","LEND-102","execution-level"
"App store release pipeline for mobile MVP","LEND-903","Task","Done","Kestrel",3,"PI 26.1","","","","","","","","","","LEND-120","execution-level"
"Penetration test remediation — biometric login","LEND-904","Task","In Progress","Kestrel",5,"PI 26.3","","","","","","","","","","LEND-124","execution-level"
"Consent revocation event not propagating to lakehouse","LEND-905","Bug","In Progress","Compass",2,"PI 26.3","","","","","","","","","","LEND-161","execution-level"
"Verify challenger strategy telemetry in dashboards","LEND-906","Story","Done","Beacon",3,"PI 26.2","","","","","","","","","","LEND-141","execution-level"
