Hierarchy,Title,Space,Releases (roll-up),Releases,Team (roll-up),Team,Assignee,Reporter,Sprint (roll-up),Sprint,Target start date,Target end date,Due date (roll-up),Due date,Story points (roll-up),Story points,Parent,Priority,Labels,Components,Work item key,Work item status,Goal,Goal status,Idea,Progress (%),Progress completed (sp),Progress remaining (sp),Progress (%) work item count (IC),To do IC,In progress IC,Done IC,Total IC,Start date (roll-up),Start date,MoSCoW,T-shirt Size,DA Team,SNOW reference no.,Business Dept,Estimate (T-shirt size),BusinessValue,Business unit
Epic,OMNI Pre Approval Credit Decisioning ,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Mark Pavkovic,"Gemba FY26-Q4-IP, Gemba FY26-Q4-S3, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Gemba FY27-Q1-S1, Gemba Q3S3.1, Gemba Q3S4, Gemba Q3S5, Gemba Q3S6",,,,15-Apr-26,,52,,OMNI Pre Approval,Medium,Gemba,"Squad Gemba, Project - Funding, OMNI - CC, DO Q4 Gemba Planning",DA-3452,In Progress,,,,51.32,39,37,51.52,13,3,17,33,29-Oct-25,,Must Have,,,,,,,
Epic,OMNI Customer Feedback and Customer Comms Data management,Data Office,,,"DO - Gemba, DO - Vanguard",DO - Gemba,Anju Unnithan,Mark Pavkovic,"Gemba FY26-Q4-S1, Gemba FY26-Q4-S2, Gemba FY26-Q4-S3, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4",,,,25-Mar-26,,33,,OMNI Pre Approval,Medium,Gemba,"Squad Gemba, Project - Funding, OMNI - CC, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-3116,In Progress,,,,85.07,57,10,77.42,5,2,24,31,14-Jan-26,,Must Have,,,,,,,
Epic,OMNI Reporting - Customer Comms & Feedback Reporting (OMNI 1316),Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,"Gemba FY26-Q4-S3, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Gemba FY27-Q1-S1, Gemba FY27-Q1-S3",,,,15-Apr-26,,43,,OMNI Pre Approval,Medium,,"Squad Gemba, Project - Funding, OMNI - CC, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-4497,In Progress,,,,53.73,36,31,45.45,12,0,10,22,,,Must Have,,,,,,,
Epic,OMNI Reporting - Sales Funnel and Pipeline Reporting (OMNI 172),Data Office,,,DO - Gemba,,Anju Unnithan,Anette Hon,"Gemba FY26-Q4-S4, Gemba FY26-Q4-S5",,,,25-Mar-26,,42,,OMNI Pre Approval,Medium,,"Squad Gemba, Project - Funding, OMNI - CC, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-3981,In Progress,,,,57.75,41,30,73.08,7,0,19,26,27-Feb-26,,,,,,,,,
Epic,OMNI Reporting - Credit Risk optimization & Compliance Audit Reporting (OMNI 830),Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,"Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Gemba Q3S4",,,,25-Mar-26,,18,,OMNI Pre Approval,Medium,,"Squad Gemba, Project - Funding, OMNI - CC, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-4496,In Progress,,,,32,8,17,25,5,7,4,16,,,Must Have,,,,,,,
Epic,CCRMB- Account header Data Preparation,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,"Gemba FY26-Q4-S3, Gemba FY27-Q1-S3",,,,13-May-26,,17,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-4078,Backlog,,,,66.67,24,12,60,4,0,6,10,12-Feb-26,,Must Have,,,,,,,
Epic,CCRMB-Consumer Credit Liability Information - Data Extraction,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,"Gemba FY26-Q4-S3, Gemba FY26-Q4-S4",,,,11-Mar-26,,31,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-4079,Backlog,,,,29.03,9,22,33.33,6,0,3,9,,,Must Have,,,,,,,
Epic,CCRMB-RHI-FHI ,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,"Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Gemba FY27-Q1-S3",,,,13-May-26,,20,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-4080,Backlog,,,,25,5,15,10,8,1,1,10,27-Feb-26,,Should Have,,,,,,,
Epic,CCRMB-Account Holder ,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,"Gemba FY26-Q4-IP, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5",,,,31-Mar-26,,48,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-4081,Backlog,,,,2.08,1,47,7.69,11,1,1,13,,,Must Have,,,,,,,
Epic,CCRMB- Bureau Feed,Data Office,,,"DO - Gemba, DO - Platform Practice",DO - Gemba,Anju Unnithan,Anju Unnithan,,,,,,,26,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-4082,Backlog,,,,0,0,26,0,9,0,0,9,,,Should Have,,,,,,,
Epic,CCRMB- Bureau Response,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Mark Pavkovic,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-6311,Backlog,,,,0,0,0,0,3,0,0,3,,,Should Have,,,,,,,
Epic,CCRMB Planning,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Mark Pavkovic,"Gemba FY26-Q4-S1, Gemba FY26-Q4-S3, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Gemba FY27-Q1-S1, Gemba FY27-Q1-S3",,,,13-May-26,,20,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,Gemba,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-3470,In Progress,,,,82.26,51,11,86.84,5,0,33,38,,,,,,,,,,
Epic,CCRMB-Require support to technically asess and share the details of the Current Data Availability ,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,Gemba,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-2447,Backlog,,,,0,0,0,50,1,0,1,2,,,,,,,,,,
Epic,CCRMB-Technical Data mapping Specification for CCR Upload and CCRMB Data Solution & Architecture design,Data Office,,,,DO - Gemba,Anju Unnithan,Anju Unnithan,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,Gemba,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-2783,Backlog,,,,0,0,0,0,10,0,0,10,,,,,,,,,,
Epic,CCRMB- Initial Data Upload Load to CR portal - File generation (3 months data) & Data Push to Ilion,Data Office,,,,DO - Gemba,Anju Unnithan,Anju Unnithan,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,Gemba,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-2827,Backlog,,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Epic,"CCRMB- Data Corrections- Design, Development and Testing for Data Interface",Data Office,,,,,Anju Unnithan,Anju Unnithan,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-4638,Backlog,,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Epic,CCRMB- Data Updates- Design Development and Testing for Data Interface,Data Office,,,,,Anju Unnithan,Anju Unnithan,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-4639,Backlog,,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Epic,"CCRMB- Data Removals - Design , Development and Testing for Data Interface",Data Office,,,,,Anju Unnithan,Anju Unnithan,,,,,,,,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Project - Funding, CCRMB 100 - CC, BI & Analytics - Practice, DO Q4 Gemba Planning",DA-4640,Backlog,,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Epic,CCRMB- Analysis current state usage of PowerCurve data within EDMP,Data Office,,,DO - Gemba,DO - Gemba,Anju Unnithan,Anju Unnithan,Gemba FY27-Q1-S3,,,,13-May-26,,10,,Comprehensive Credit Reporting & Multi Bureau (CCR-MB),Medium,,"Squad Gemba, Data - Domain, Project - Funding, DO Q4 Gemba Planning, CCRMB 99 - CC",DA-5680,Backlog,,,,23.08,3,10,22.22,7,0,2,9,,,,,,,,,,
Epic,DMND0003836 Vehicle Tracking Dashboard - Migration into EDMP,Data Office,,,"DO - Vanguard, DO - MPD - Pricing and Analytics",DO - Vanguard,Shehan Fernando,Anette Hon,"Gemba Q3S4, Gemba Q3S5, Gemba Q3S6, Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5, Vanguard Quarter 3 Sprint 5, Vanguard Quarter 3 Sprint 6",,,,25-Mar-26,,113,,RFI Migration,Highest,,"Squad Vanguard, Project - Funding, RFI Migration - CC, DO FY27 Q1 Vanguard Planning",DA-1530,In Progress,,,,45.4,74,89,54.05,16,1,20,37,12-Nov-25,,Must Have,Medium (2 - 4 weeks),NA,DMND0003836,Dealer Distribution & Market & Partner,,,
Epic,Q4 Inc Vanguard Q4 Incidents,Data Office,,,DO - Vanguard,DO - Vanguard,Greg Collocott,Greg Collocott,"COPS FY26-Q4-S1, Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5",,,,,3-Jan-26,28,,Incidents & Service Requests,Medium,,"Squad Vanguard, BAU - Funding, Incidents - BAU, DO Q4 Vanguard Planning",DA-3911,In Progress,,,,81.25,39,9,60.87,7,2,14,23,,3-Jan-26,Must Have,,,,Data,,,
Epic,Q4 MnthEd Vanguard Month End Tasks,Data Office,,,,DO - Vanguard,Greg Collocott,Asif Iftikhar,,,,,,,,,Incidents & Service Requests,Highest,,"Squad Vanguard, BAU - Funding, DO Q4 Vanguard Planning",DA-4442,Backlog,,,,0,0,0,0,0,0,0,0,,,,,,,Data,,,
Epic,CDR Planning Phase - Data Architecture & Design,Data Office,,,DO - Vanguard,DO - Vanguard,Brian Hurley,Geoffrey Soh,"Vanguard FY26-Q4-S5, Vanguard Quarter 3 Sprint 4",,,,25-Mar-26,,5,,Consumer Data Rights CDR Project,Medium,"Data_Architecture, Vanguard","Squad Vanguard, Project - Funding, CDR - CC",DA-2193,In Progress,,,,89.58,43,5,90,0,1,9,10,12-Nov-25,,,,,,,,,
Epic,DMND0004037 Valeur Transactional Data Ingestion,Data Office,,,DO - Vanguard,DO - Vanguard,Bindu Baddepudi,Philip Troop,"Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5",,,,25-Mar-26,,52,,Vanguard Demands (Data Office),Medium,,"Squad Vanguard, BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning",DA-3423,Elaboration,,,,82.09,55,12,82.61,0,4,19,23,,,,Large (4 - 6 weeks),,DMND0004037,Risk,,,Risk Management
Epic,DMND0003938 Include Alfa data in commission reporting and new business margin,Data Office,,,"DO - Gemba, DO - MPD - Pricing and Analytics",DO - MPD - Pricing and Analytics,Anju Unnithan,Anette Hon,,,,,,,8,,RFI Migration,Highest,Gemba,"Squad Gemba, Project - Funding, RFI Migration - CC, Squad MPD",DA-2036,Selected for Development,,,,0,0,8,20,4,0,1,5,,,,Medium (2 - 4 weeks),,DMND0003938,Dealer Distribution & Market & Partner,,,
Epic,DMND0003737 Include Alfa data in MOMBase table solution,Data Office,,,"DO - COPS, DO - Vanguard",DO - Vanguard,Bindu Baddepudi,Sheldon Johnston,"COPS FY26-Q4-S4, COPS FY26-Q4-S5, COPS FY27-Q1-S1, Vanguard FY26-Q4-S2, Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5, Vanguard Quarter 3 Sprint 3",,,,,,83,1,Vanguard Demands (Data Office),Highest,Vanguard,"Squad Vanguard, BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning",DA-69,In Progress,,,,71.81,107,42,77.14,14,2,54,70,,,Must Have,Medium (2 - 4 weeks),NA,DMND0003737,Risk,,,Risk Management
Epic,DMND0003449 AUPANALYTICS02 - WIP.dbo.Loss_Grade_Sheet9_v1 - Migrate Stored Proc to EDMP,Data Office,,,DO - Vanguard,DO - Vanguard,Jyothi Bodasakurti,Sheldon Johnston,"Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5",,,,25-Mar-26,,12,1,IT and Data Office Demands,Medium,"Engineering, Gemba","Squad Vanguard, BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning",DA-1109,In Progress,,,,76.92,10,3,75,0,1,3,4,26-Feb-26,,Must Have,Small (< 2 weeks),NA,DMND0003449,IT,,,
Epic,DMND0003898 KINTO LEAD TIME HOSHIN BRIEF: Review current scorecard for enhancements ,Data Office,,,DO - Vanguard,DO - Vanguard,,Anette Hon,"Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5, Vanguard Quarter 3 Sprint 3, Vanguard Quarter 3 Sprint 4",,,,25-Mar-26,,28,,Kinto Hoshin FY26 Demands,Highest,"Gemba, DataScience, Domain","BAU - Funding, Demands - BAU, Data Science - Practice, DO Q4 Vanguard Planning, DO FY27 Q1 Vanguard Planning",DA-1753,In Progress,,,,74.32,55,19,71.05,11,0,27,38,29-Oct-25,,Must Have,Large (4 - 6 weeks),Data Science,DMND0003898,Kinto,,,
Epic,DMND0003899 KINTO LEAD TIME HOSHIN BRIEF: Review referrals due to missing driver’s licence data,Data Office,,,DO - Vanguard,DO - Vanguard,David Qi,Anette Hon,"Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5, Vanguard Quarter 3 Sprint 4",,,,25-Mar-26,,18,8,Kinto Hoshin FY26 Demands,Highest,"Vanguard, Domain","Squad Vanguard, BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning, DO FY27 Q1 Vanguard Planning",DA-1754,In Progress,,,,67.65,46,22,57.14,8,4,16,28,,,Should Have,X-Large (> 6 weeks),,DMND0003899,Kinto,,,
Epic,DMND0003900 KINTO LEAD TIME HOSHIN BRIEF: Review policy reasons resulting in referral to determine if they can be removed/ refined ,Data Office,,,DO - Vanguard,DO - Vanguard,David Qi,Anette Hon,,,,,31-Mar-26,,,,Kinto Hoshin FY26 Demands,High,Vanguard,"Squad Vanguard, BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning, DO FY27 Q1 Vanguard Planning",DA-1757,In Progress,,,,100,4,0,60,3,1,6,10,,,Must Have,Large (4 - 6 weeks),,DMND0003900,Kinto,,,
Epic,CDR - Data Requirements and Analysis,Data Office,,,"DO - Gemba, DO - Vanguard",DO - Vanguard,Bindu Baddepudi,Bindu Baddepudi,"Gemba FY26-Q4-S3, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Vanguard FY26-Q4-S1, Vanguard FY26-Q4-S2, Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4",,,,25-Mar-26,,10,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5151,In Progress,,,,84.38,27,5,88.89,0,1,8,9,,,Must Have,,,,,,,
Epic,CDR - Architecture and Solution Design (Data Focused),Data Office,,,DO - Vanguard,DO - Vanguard,Brian Hurley,Bindu Baddepudi,"Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5",,,,25-Mar-26,,18,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5152,In Progress,,,,83.33,15,3,75,1,1,6,8,12-Feb-26,,Must Have,,,,,,,
Epic,CDR - End-to-End Data Source to Target Mapping,Data Office,,,DO - Vanguard,DO - Vanguard,Bindu Baddepudi,Bindu Baddepudi,"Vanguard FY26-Q4-S3, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5",,,,25-Mar-26,,35,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5153,In Progress,,,,31.43,11,24,37.5,0,5,3,8,,,Must Have,,,,,,,
Epic,CDR Operational database - deployment model,Data Office,,,,DO - Vanguard,Nigel Leslie,Bindu Baddepudi,,,,,,,,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5158,In Progress,,,,0,0,0,0,0,0,0,0,,,Could Have,,,,,,,
Epic,Data Modelling - CDR Schema specific to Operational Database,Data Office,,,,DO - Vanguard,Jyothi Bodasakurti,Bindu Baddepudi,,,,,,,,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5155,In Progress,,,,0,0,0,0,0,0,0,0,,,Must Have,,,,,,,
Epic,CDR Ingestion - Validate from Source Systems,Data Office,,,,DO - Vanguard,Jyothi Bodasakurti,Bindu Baddepudi,,,,,,,,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5156,In Progress,,,,0,0,0,0,0,0,0,0,,,Should Have,,,,,,,
Epic,"Data Modelling -  Customer, Contract, Account and Transactions ",Data Office,,,,DO - Vanguard,Jyothi Bodasakurti,Bindu Baddepudi,,,,,,,,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, CDR - CC, DO Q4 Vanguard Planning",DA-5154,Selected for Development,,,,0,0,0,0,0,0,0,0,,,Must Have,,,,,,,
Epic,Enterprise Canonical Data Models (ECDM) - Deploy to Prod - Path to Production,Data Office,,,,DO - Vanguard,Brian Hurley,Bindu Baddepudi,,,,,,,,,Consumer Data Rights CDR Project,Medium,,"Squad Vanguard, Project - Funding, DO Q4 Vanguard Planning",DA-5345,Selected for Development,,,,0,0,0,0,0,0,0,0,,,Should Have,,,,,,,
Epic,DMND0003885 Replace API Data Ingestion with data from DOMO ,Data Office,,,"DO - Vanguard, DO - Engineering Practice",DO - Vanguard,Bindu Baddepudi,Anette Hon,,,,,,,,,Vanguard Demands (Data Office),Medium,Vanguard,"Squad Vanguard, BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning",DA-1698,Selected for Development,,,,0,0,0,0,2,0,0,2,,,,Large (4 - 6 weeks),,DMND0003885,Kinto,,,
Epic,DMND0003556 Retail Application Fraud Model Redevelopment,Data Office,,,DO - Vanguard,DO - Vanguard,,Anette Hon,Vanguard FY26-Q4-S4,Vanguard Quarter 3 Sprint 2 [COMPLETED] + Vanguard Quarter 3 Sprint 1 [COMPLETED],,,,28-Oct-25,20,8,Vanguard Demands (Data Office),Highest,Vanguard,"BAU - Funding, Demands - BAU, DO Q4 Vanguard Planning",DA-2009,Selected for Development,,,,56.92,37,28,50,8,1,9,18,,1-Oct-25,,,,DMND0003556,Risk,,,
